Location,type,m,lat,long,elr
http://purl.org/rail/resource/TCLocationBGRN2,http://purl.org/rail/is/TCLocation,52.51,52.34666667,-1.996666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBLACKWL,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBLACKWL1,http://purl.org/rail/is/TCLocation,53.69,52.33333333,-2.013333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBLACKWL2,http://purl.org/rail/is/TCLocation,54.53,52.32666667,-2.026666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBRMSGRV,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBRMSGRV1,http://purl.org/rail/is/TCLocation,56.08,52.31,-2.05,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationBRMSGRV2,http://purl.org/rail/is/TCLocation,56.79,52.3,-2.06,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSTKWKSJ,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSTKWKSJ1,http://purl.org/rail/is/TCLocation,60.42,52.25,-2.093333333,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSTKWKSJ2,http://purl.org/rail/is/TCLocation,63.34,52.21,-2.116666667,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSPTCHLL,http://purl.org/rail/is/TCLocation,#DIV/0!,#DIV/0!,#DIV/0!,http://purl.org/rail/resource/LineRefBAG1
http://purl.org/rail/resource/TCLocationSPTCHLL1,http://purl.org/rail/is/TCLocation,66.26,52.17333333,-2.14,http://purl.org/rail/resource/LineRefBAG1
